"","Date","Open*","High","Low","Close**","Volume","Market Cap"
"466","Mar 06, 2018",11500.1,11500.1,10694.3,10779.9,"6,832,169,984","182,225,316,082"
"467","Mar 05, 2018",11532.4,11704.1,11443.9,11573.3,"6,468,539,904","195,614,809,925"
"468","Mar 04, 2018",11497.4,11512.6,11136.1,11512.6,"6,084,149,760","194,567,395,376"
"469","Mar 03, 2018",11101.9,11528.2,11002.4,11489.7,"6,690,570,240","194,159,120,569"
"470","Mar 02, 2018",10977.4,11189,10850.1,11086.4,"7,620,590,080","187,318,996,197"
"471","Mar 01, 2018",10385,11052.3,10352.7,10951,"7,317,279,744","185,009,753,075"
"472","Feb 28, 2018",10687.2,11089.8,10393.1,10397.9,"6,936,189,952","175,644,310,997"
"473","Feb 27, 2018",10393.9,10878.5,10246.1,10725.6,"6,966,179,840","181,158,869,820"
"474","Feb 26, 2018",9669.43,10475,9501.73,10366.7,"7,287,690,240","175,076,064,010"
"475","Feb 25, 2018",9796.42,9923.22,9407.06,9664.73,"5,706,939,904","163,204,062,358"
"476","Feb 24, 2018",10287.7,10597.2,9546.97,9813.07,"6,917,929,984","165,687,799,108"
"477","Feb 23, 2018",9937.07,10487.3,9734.56,10301.1,"7,739,500,032","173,909,350,860"
"478","Feb 22, 2018",10660.4,11039.1,9939.09,10005,"8,040,079,872","168,892,273,935"
"479","Feb 21, 2018",11372.2,11418.5,10479.1,10690.4,"9,405,339,648","180,442,459,820"
"480","Feb 20, 2018",11231.8,11958.5,11231.8,11403.7,"9,926,540,288","192,457,815,912"
"481","Feb 19, 2018",10552.6,11273.8,10513.2,11225.3,"7,652,089,856","189,426,791,571"
"482","Feb 18, 2018",11123.4,11349.8,10326,10551.8,"8,744,009,728","178,040,648,022"
"483","Feb 17, 2018",10207.5,11139.5,10149.4,11112.7,"8,660,880,384","187,482,083,882"
"484","Feb 16, 2018",10135.7,10324.1,9824.82,10233.9,"7,296,159,744","172,637,061,144"
"485","Feb 15, 2018",9488.32,10234.8,9395.58,10166.4,"9,062,540,288","171,477,807,437"
"486","Feb 14, 2018",8599.92,9518.54,8599.92,9494.63,"7,909,819,904","160,131,558,835"
"487","Feb 13, 2018",8926.72,8958.47,8455.41,8598.31,"5,696,719,872","144,995,984,203"
"488","Feb 12, 2018",8141.43,8985.92,8141.43,8926.57,"6,256,439,808","150,513,128,412"
"489","Feb 11, 2018",8616.13,8616.13,7931.1,8129.97,"6,122,189,824","137,064,586,975"
"490","Feb 10, 2018",8720.08,9122.55,8295.47,8621.9,"7,780,960,256","145,341,842,785"
"491","Feb 09, 2018",8271.84,8736.98,7884.71,8736.98,"6,784,820,224","147,266,052,809"
"492","Feb 08, 2018",7637.86,8558.77,7637.86,8265.59,"9,346,750,464","139,306,699,929"
"493","Feb 07, 2018",7755.49,8509.11,7236.79,7621.3,"9,169,280,000","128,435,001,186"
"494","Feb 06, 2018",7051.75,7850.7,6048.26,7754,"13,999,800,320","130,658,094,648"
"495","Feb 05, 2018",8270.54,8364.84,6756.68,6955.27,"9,285,289,984","117,184,385,122"
"496","Feb 04, 2018",9175.7,9334.87,8031.22,8277.01,"7,073,549,824","139,433,682,759"
"497","Feb 03, 2018",8852.12,9430.75,8251.63,9174.91,"7,263,790,080","154,540,000,411"
"498","Feb 02, 2018",9142.28,9142.28,7796.49,8830.75,"12,726,899,712","148,725,283,812"
"499","Feb 01, 2018",10237.3,10288.8,8812.28,9170.54,"9,959,400,448","154,428,564,694"
"500","Jan 31, 2018",10108.2,10381.6,9777.42,10221.1,"8,041,160,192","172,099,559,942"
"501","Jan 30, 2018",11306.8,11307.2,10036.2,10106.3,"8,637,859,840","170,151,556,678"
"502","Jan 29, 2018",11755.5,11875.6,11179.2,11296.4,"7,107,359,744","190,164,444,830"
"503","Jan 28, 2018",11475.3,12040.3,11475.3,11786.3,"8,350,360,064","198,389,948,175"
"504","Jan 27, 2018",11174.9,11614.9,10989.2,11440.7,"7,583,269,888","192,550,550,498"
"505","Jan 26, 2018",11256,11656.7,10470.3,11171.4,"9,746,199,552","187,995,804,677"
"506","Jan 25, 2018",11421.7,11785.7,11057.4,11259.4,"8,873,169,920","189,455,303,273"
"507","Jan 24, 2018",10903.4,11501.4,10639.8,11359.4,"9,940,989,952","191,115,225,673"
"508","Jan 23, 2018",10944.5,11377.6,10129.7,10868.4,"9,660,609,536","182,830,257,191"
"509","Jan 22, 2018",11633.1,11966.4,10240.2,10931.4,"10,537,400,320","183,866,421,285"
"510","Jan 21, 2018",12889.2,12895.9,11288.2,11600.1,"9,935,179,776","195,089,460,991"
"511","Jan 20, 2018",11656.2,13103,11656.2,12899.2,"11,801,700,352","216,907,619,830"
