"","open","high","low","close","volume","adjusted_close"
"2014-06-01",1.2291,1.2321,1.22782,1.22922,0,1.22922
"2014-06-02",1.2312,1.2332,1.2273,1.2313,0,1.2313
"2014-06-03",1.2288,1.2307,1.22693,1.2288,0,1.2288
"2014-06-04",1.23023,1.2395,1.2293,1.23028,0,1.23028
"2014-06-05",1.2303,1.2341,1.23003,1.2302,0,1.2302
"2014-06-08",1.2317,1.236,1.23107,1.2311,0,1.2311
"2014-06-09",1.23594,1.2398,1.2354,1.23596,0,1.23596
"2014-06-10",1.23677,1.2413,1.23661,1.23688,0,1.23688
"2014-06-11",1.2403,1.2448,1.23971,1.24012,0,1.24012
"2014-06-12",1.2511,1.2538,1.24927,1.2509,0,1.2509
"2014-06-15",1.25386,1.2562,1.2507,1.2539,0,1.2539
"2014-06-16",1.2504,1.2528,1.2485,1.2504,0,1.2504
"2014-06-17",1.25151,1.2545,1.2473,1.2516,0,1.2516
"2014-06-18",1.2506,1.2519,1.2463,1.2506,0,1.2506
"2014-06-19",1.2518,1.2547,1.2505,1.2517,0,1.2517
"2014-06-22",1.2523,1.2534,1.2503,1.2521,0,1.2521
"2014-06-23",1.2515,1.2523,1.24602,1.2516,0,1.2516
"2014-06-24",1.24772,1.2481,1.2448,1.24771,0,1.24771
"2014-06-25",1.2459,1.2523,1.2449,1.24591,0,1.24591
"2014-06-26",1.2505,1.251,1.2471,1.25041,0,1.25041
"2014-06-29",1.2485,1.2495,1.2457,1.2483,0,1.2483
"2014-06-30",1.2494,1.2534,1.2485,1.2494,0,1.2494
"2014-07-01",1.2533,1.2575,1.25287,1.2533,0,1.2533
"2014-07-02",1.25658,1.2601,1.2543,1.2567,0,1.2567
"2014-07-03",1.2603,1.2624,1.26027,1.2602,0,1.2602
"2014-07-06",1.2621,1.2633,1.2582,1.26203,0,1.26203
"2014-07-07",1.2591,1.2613,1.256,1.2591,0,1.2591
"2014-07-08",1.2584,1.2587,1.2558,1.25834,0,1.25834
"2014-07-09",1.25729,1.2597,1.2547,1.2574,0,1.2574
"2014-07-10",1.2591,1.2598,1.2571,1.2589,0,1.2589
"2014-07-13",1.2585,1.2587,1.2528,1.25845,0,1.25845
"2014-07-14",1.2543,1.2638,1.2528,1.2543,0,1.2543
"2014-07-15",1.263,1.2671,1.26268,1.2631,0,1.2631
"2014-07-16",1.2667,1.2675,1.2631,1.2667,0,1.2667
"2014-07-17",1.2644,1.265,1.26034,1.26406,0,1.26406
"2014-07-20",1.2628,1.2642,1.26112,1.2628,0,1.2628
"2014-07-21",1.2624,1.2671,1.262,1.2621,0,1.2621
"2014-07-22",1.267,1.2697,1.264,1.267,0,1.267
"2014-07-23",1.2656,1.2671,1.25953,1.2655,0,1.2655
"2014-07-24",1.2616,1.2646,1.2602,1.26167,0,1.26167
"2014-07-27",1.26425,1.265,1.2628,1.2644,0,1.2644
"2014-07-28",1.2636,1.2644,1.2612,1.2636,0,1.2636
"2014-07-29",1.2636,1.2641,1.2624,1.26342,0,1.26342
"2014-07-30",1.2623,1.2633,1.2592,1.2622,0,1.2622
"2014-07-31",1.2614,1.2616,1.2523,1.2614,0,1.2614
"2014-08-03",1.2529,1.2554,1.2521,1.25302,0,1.25302
