Date,Open Price,Close Price,High Price,Low Price,Volume
30-Apr-2012,11479.65,11417.59,11506.50,11405.23,259901136
01-May-2012,11417.62,11503.86,11509.58,11394.42,161351904
02-May-2012,11503.84,11475.89,11532.79,11425.37,377633472
03-May-2012,11475.91,11483.31,11509.65,11452.84,265525872
04-May-2012,11483.32,11156.22,11483.32,11136.34,358712992
08-May-2012,11156.17,10872.50,11188.30,10869.39,377604352
09-May-2012,10872.49,10788.16,10924.28,10694.04,368744608
10-May-2012,10788.12,10943.40,10955.38,10788.12,322393984
11-May-2012,10943.47,11016.41,11019.48,10894.57,244343888
14-May-2012,11016.40,10813.60,11016.40,10755.23,251412256
15-May-2012,10813.62,10722.49,10905.97,10704.95,294302400
16-May-2012,10722.55,10675.30,10736.25,10493.08,345501664
17-May-2012,10675.33,10592.94,10759.15,10587.73,279062016
18-May-2012,10593.01,10431.90,10593.76,10428.63,283264352
21-May-2012,10431.93,10435.51,10494.96,10402.42,251959696
22-May-2012,10435.48,10579.52,10600.03,10435.48,312676544
23-May-2012,10579.53,10375.72,10579.53,10373.49,266045344
24-May-2012,10375.74,10472.48,10491.09,10369.12,283501504
25-May-2012,10472.54,10417.52,10552.01,10369.49,286164448
28-May-2012,10417.47,10515.28,10554.50,10417.47,175700736
29-May-2012,10515.26,10657.87,10674.09,10515.26,252989664
30-May-2012,10657.94,10494.82,10657.94,10486.25,283122848
31-May-2012,10494.91,10558.22,10641.71,10494.91,494563232
01-Jun-2012,10558.24,10346.71,10577.46,10299.34,302937280
06-Jun-2012,10346.60,10583.76,10583.76,10346.60,331138688
07-Jun-2012,10583.80,10745.12,10769.34,10580.89,314560896
08-Jun-2012,10745.28,10698.95,10745.28,10591.89,318276288
11-Jun-2012,10698.78,10658.24,10885.70,10648.47,258258432
12-Jun-2012,10658.29,10561.16,10671.54,10504.09,261276576
13-Jun-2012,10561.22,10538.59,10640.99,10469.12,262961936
14-Jun-2012,10538.75,10574.63,10586.09,10474.95,281282144
15-Jun-2012,10574.96,10729.65,10729.65,10574.96,626810496
18-Jun-2012,10729.61,10721.44,10831.11,10663.68,452835520
19-Jun-2012,10721.40,10870.93,10884.94,10721.18,404428352
20-Jun-2012,10870.92,11022.81,11022.81,10828.18,415225792
21-Jun-2012,11022.92,10944.66,11022.92,10903.79,341517216
22-Jun-2012,10944.70,10823.86,10944.70,10807.99,233651824
25-Jun-2012,10823.82,10671.42,10824.04,10671.42,240224464
26-Jun-2012,10671.38,10665.37,10717.93,10650.49,253433104
27-Jun-2012,10665.32,10751.98,10755.60,10635.32,243747152
28-Jun-2012,10751.90,10688.29,10777.34,10624.61,272217792
29-Jun-2012,10688.10,10932.13,10962.36,10688.10,278533856
02-Jul-2012,10932.14,11093.47,11093.47,10932.14,266735744
03-Jul-2012,11093.42,11189.81,11189.81,11089.95,263865840
04-Jul-2012,11189.83,11161.21,11199.36,11113.35,210529040
05-Jul-2012,11161.18,11130.87,11201.96,11080.22,248850880
06-Jul-2012,11130.86,11070.64,11131.84,11049.13,221537280
09-Jul-2012,11070.61,10983.34,11071.02,10967.28,265229504
10-Jul-2012,10983.35,11065.49,11092.58,10979.88,274351744
11-Jul-2012,11065.43,10967.78,11065.86,10936.86,231695472
12-Jul-2012,10967.87,10924.05,10998.43,10888.08,412835840
13-Jul-2012,10924.03,11043.83,11050.71,10923.62,278423776
16-Jul-2012,11043.81,11075.26,11104.44,11016.27,205808352
17-Jul-2012,11075.25,11019.23,11131.72,11007.10,299120160
18-Jul-2012,11019.12,11085.68,11091.02,11017.73,239728928
19-Jul-2012,11085.64,11242.50,11245.07,11085.63,258468672
20-Jul-2012,11242.52,11168.85,11253.87,11142.58,262291808
23-Jul-2012,11168.93,10896.91,11168.93,10880.84,227813184
24-Jul-2012,10897.68,10885.94,10957.28,10878.05,256359072
25-Jul-2012,10885.98,10873.42,10922.09,10840.78,263430304
26-Jul-2012,10873.40,11039.52,11040.64,10850.43,231724368
27-Jul-2012,11039.51,11179.01,11190.26,11039.51,217543696
30-Jul-2012,11179.51,11238.91,11250.75,11171.91,191502160
31-Jul-2012,11238.88,11136.69,11260.94,11136.69,203925856
01-Aug-2012,11136.70,11186.19,11198.17,11136.70,203176480
02-Aug-2012,11186.23,11076.61,11229.05,11076.61,227579808
03-Aug-2012,11076.59,11301.14,11314.81,11076.59,192501248
06-Aug-2012,11301.17,11426.40,11448.60,11301.15,180665056
07-Aug-2012,11426.49,11460.94,11460.94,11371.61,187702880
08-Aug-2012,11461.03,11436.44,11461.03,11377.02,176276464
09-Aug-2012,11436.43,11464.03,11466.22,11421.04,184330096
10-Aug-2012,11464.05,11470.75,11470.75,11411.09,155161744
13-Aug-2012,11470.78,11436.81,11471.60,11411.18,147748944
14-Aug-2012,11436.83,11504.30,11504.30,11436.49,179553408
15-Aug-2012,11504.32,11498.12,11512.43,11466.45,167215472
16-Aug-2012,11498.19,11502.29,11520.74,11478.08,188713408
17-Aug-2012,11502.32,11618.10,11618.10,11502.32,203930960
20-Aug-2012,11618.09,11563.27,11655.28,11555.52,161938784
21-Aug-2012,11563.23,11639.47,11645.80,11563.23,187296608
22-Aug-2012,11639.48,11494.35,11639.57,11480.57,188522800
23-Aug-2012,11494.19,11466.54,11538.25,11459.85,166304608
24-Aug-2012,11466.56,11449.06,11475.77,11398.53,144902240
28-Aug-2012,11449.13,11375.24,11451.63,11364.41,177097104
29-Aug-2012,11375.26,11387.69,11408.58,11339.72,153738080
30-Aug-2012,11387.92,11325.91,11387.92,11305.62,176977584
31-Aug-2012,11325.95,11410.19,11444.37,11325.92,203846464
03-Sep-2012,11410.22,11503.13,11508.37,11388.48,157865792
04-Sep-2012,11503.60,11428.84,11522.50,11407.37,219822144
05-Sep-2012,11428.88,11446.07,11452.73,11383.53,247747872
06-Sep-2012,11446.10,11676.44,11681.13,11446.09,255397984
07-Sep-2012,11676.43,11808.01,11810.86,11676.22,250506976
10-Sep-2012,11808.04,11841.50,11854.11,11792.82,206743776
11-Sep-2012,11841.48,11780.42,11841.49,11729.68,195852656
12-Sep-2012,11780.39,11811.05,11833.46,11751.48,282688704
13-Sep-2012,11810.86,11846.53,11846.64,11797.62,219275312
14-Sep-2012,11846.44,12116.12,12162.66,11846.36,339322144
17-Sep-2012,12116.16,12080.88,12116.51,12064.68,239303776
18-Sep-2012,12080.89,11933.70,12080.89,11928.27,253294448
19-Sep-2012,11934.20,11974.19,11990.40,11933.59,227975904
20-Sep-2012,11974.24,11928.98,11974.24,11882.30,211653648
21-Sep-2012,11928.91,11950.03,12007.73,11928.91,470310144
24-Sep-2012,11950.05,11903.11,11950.68,11861.73,173483840
25-Sep-2012,11903.03,11931.43,11941.69,11894.68,213244464
26-Sep-2012,11931.53,11737.88,11931.53,11721.21,218373040
27-Sep-2012,11737.81,11754.40,11782.44,11723.38,177764240
28-Sep-2012,11754.32,11734.10,11804.16,11730.29,220258208
01-Oct-2012,11734.08,11867.48,11892.65,11723.78,201509408
02-Oct-2012,11867.49,11894.41,11928.90,11821.82,230897520
03-Oct-2012,11894.49,11872.73,11913.97,11840.28,213414464
04-Oct-2012,11872.67,11954.42,11965.32,11867.28,236576624
05-Oct-2012,11954.39,12061.35,12074.55,11949.39,242628608
08-Oct-2012,12061.49,11974.63,12061.49,11931.38,194994640
09-Oct-2012,11974.61,11911.76,11995.57,11904.73,194039728
10-Oct-2012,11911.74,11828.32,11912.61,11828.32,214960016
11-Oct-2012,11828.23,11898.39,11921.10,11807.30,248604896
12-Oct-2012,11898.72,11838.26,11908.34,11838.26,195570368
15-Oct-2012,11838.34,11855.67,11884.16,11824.37,193025120
16-Oct-2012,11855.62,11985.30,11987.68,11855.62,246733744
17-Oct-2012,11985.25,12045.88,12045.88,11971.32,242323440
18-Oct-2012,12045.92,12071.25,12079.53,12024.61,274751136
19-Oct-2012,12071.41,12074.30,12106.44,12046.83,225484736
22-Oct-2012,12074.26,12040.01,12078.65,12024.81,182935696
23-Oct-2012,12039.77,11891.11,12046.30,11879.65,199211824
24-Oct-2012,11891.02,11862.66,11912.58,11836.01,246842624
25-Oct-2012,11862.59,11972.15,12000.34,11857.87,233976832
26-Oct-2012,11972.14,11925.93,11972.24,11862.43,191881472
29-Oct-2012,11925.97,11920.65,11931.60,11842.43,161533408
30-Oct-2012,11920.61,11954.25,11964.18,11915.81,158546816
31-Oct-2012,11954.23,11934.95,12009.52,11931.19,223225840
01-Nov-2012,11934.90,12091.83,12093.23,11932.37,302686176
02-Nov-2012,12091.87,12120.83,12164.04,12082.21,304202016
05-Nov-2012,12120.85,12030.46,12120.85,11996.83,197886688
06-Nov-2012,12030.44,12081.55,12081.55,12027.45,197919552
07-Nov-2012,12081.49,11961.32,12139.11,11958.66,265592256
08-Nov-2012,11961.31,11895.66,12005.60,11895.66,248938768
09-Nov-2012,11895.65,11842.42,11911.12,11800.17,240667184
12-Nov-2012,11842.44,11803.30,11862.14,11803.30,207108336
13-Nov-2012,11803.28,11797.22,11803.28,11723.41,205738032
14-Nov-2012,11797.23,11718.65,11805.82,11718.65,241087888
15-Nov-2012,11718.34,11683.50,11718.34,11655.06,243680944
16-Nov-2012,11683.46,11576.98,11706.21,11576.98,228665344
19-Nov-2012,11576.89,11744.79,11744.79,11576.89,200285296
20-Nov-2012,11744.78,11820.83,11828.77,11722.53,191370096
21-Nov-2012,11820.66,11783.32,11821.18,11755.63,175336896
22-Nov-2012,11783.29,11861.74,11861.74,11783.29,171649584
23-Nov-2012,11861.70,11888.93,11888.93,11846.90,163797488
26-Nov-2012,11888.94,11843.60,11888.94,11831.49,187036704
27-Nov-2012,11843.55,11867.18,11890.93,11838.53,197172096
28-Nov-2012,11867.19,11890.61,11890.61,11794.58,206749440
29-Nov-2012,11890.59,12026.57,12027.90,11890.59,325471456
30-Nov-2012,12026.54,12034.22,12074.53,12026.54,412423424
03-Dec-2012,12034.03,12027.44,12087.25,12011.14,180007840
04-Dec-2012,12027.43,12053.26,12060.33,12018.89,193835536
05-Dec-2012,12053.25,12103.11,12125.83,12053.20,198688352
06-Dec-2012,12103.13,12149.23,12188.24,12100.83,202193216
07-Dec-2012,12149.26,12187.56,12187.56,12117.24,191598480
10-Dec-2012,12187.57,12178.15,12187.77,12132.21,179254144
11-Dec-2012,12178.14,12190.58,12211.18,12173.48,179603152
12-Dec-2012,12190.60,12224.31,12228.31,12185.28,180847232
13-Dec-2012,12224.32,12211.57,12232.25,12186.14,315748768
14-Dec-2012,12211.54,12244.24,12256.79,12210.31,248777216
17-Dec-2012,12244.16,12218.58,12266.22,12195.84,195046976
18-Dec-2012,12218.56,12293.25,12298.26,12218.56,236409824
19-Dec-2012,12293.24,12402.41,12409.42,12293.24,240245968
20-Dec-2012,12402.43,12422.77,12425.16,12381.70,216802736
21-Dec-2012,12422.77,12362.38,12422.78,12289.32,318241824
24-Dec-2012,12362.65,12395.80,12403.28,12358.06,51580824
27-Dec-2012,12395.86,12397.68,12441.28,12377.74,103786976
28-Dec-2012,12397.17,12359.73,12417.21,12345.53,92842808
31-Dec-2012,12359.70,12374.97,12374.97,12318.41,45470880
02-Jan-2013,12374.74,12611.85,12634.51,12374.74,209944384
03-Jan-2013,12611.88,12651.25,12670.88,12597.92,202810336
04-Jan-2013,12651.39,12694.90,12694.92,12612.26,172175776
07-Jan-2013,12694.89,12721.99,12721.99,12661.19,192266704
08-Jan-2013,12721.98,12635.01,12722.43,12632.69,255814000
09-Jan-2013,12634.82,12709.06,12710.43,12634.82,252700288
10-Jan-2013,12709.06,12730.78,12774.73,12705.61,269730208
11-Jan-2013,12730.73,12797.83,12809.21,12730.73,256220608
14-Jan-2013,12798.00,12759.14,12864.72,12748.09,240571296
15-Jan-2013,12759.11,12774.79,12801.03,12747.03,240088144
16-Jan-2013,12774.89,12763.64,12774.89,12702.99,235790160
17-Jan-2013,12763.66,12847.61,12847.61,12752.04,299836672
18-Jan-2013,12847.60,12946.12,12951.54,12847.60,242714272
21-Jan-2013,12946.11,12994.94,12994.94,12916.12,179418912
22-Jan-2013,12994.93,12958.14,12995.37,12922.12,198018176
23-Jan-2013,12958.21,12934.40,12962.89,12882.79,256158608
24-Jan-2013,12934.42,13066.44,13066.44,12932.76,287654080
25-Jan-2013,13066.16,13136.10,13136.10,13054.32,269185408
28-Jan-2013,13136.24,13132.49,13159.77,13113.05,229696496
29-Jan-2013,13132.44,13107.56,13148.73,13056.71,220879024
