"","open","high","low","close","volume","adjusted_close"
"X2014.04.12",247,532.369995,240.369995,262.769989,49413,262.769989
"X2014.04.13",267.779999,360,232.600006,277.399994,118664,277.399994
"X2014.04.14",295.170013,636.679993,250,331,151290,331
"X2014.04.15",331,532,298.980011,330.350006,140680,330.350006
"X2014.04.16",330.350006,451.279999,283.700012,310,85013,310
"X2014.04.17",310,508,271.209991,293.149994,59659,293.149994
"X2014.04.18",293.149994,415,265.440002,291.329987,59039,291.329987
"X2014.04.19",291.329987,520,189.610001,291.649994,36488,291.649994
"X2014.04.20",281,360.130005,168,283.100006,41968,283.100006
"X2014.04.21",293.769989,415,275,297.059998,83180,297.059998
"X2014.04.22",297.059998,505,275.25,284,81876,284
"X2014.04.23",286.899994,550,161.389999,302.880005,83258,302.880005
"X2014.04.24",355.799988,444.390015,258,295,66877,295
"X2014.04.25",295,405.339996,260,318.23999,48520,318.23999
"X2014.04.26",318.23999,471,257.950012,264.279999,56626,264.279999
"X2014.04.27",264.279999,407.48999,241.550003,279.649994,107077,279.649994
"X2014.04.28",279.649994,1000,253.690002,287.940002,67663,287.940002
"X2014.04.29",287.940002,456,257,290,87411,290
"X2014.04.30",290,477.98999,203.050003,283.269989,94172,283.269989
"X2014.05.01",283.269989,428.799988,250,279.26001,70801,279.26001
"X2014.05.02",279.26001,419.899994,250.100006,258.5,35792,258.5
"X2014.05.03",258.5,289.359985,244.220001,276.390015,9124,276.390015
"X2014.05.04",276.390015,410.230011,240,409.75,51294,409.75
"X2014.05.05",409.75,415,245.139999,260.730011,103294,260.730011
