,X1,X2,X3,X4,X5,X6
103,Sunday 10 March 2019,OIL/GBP,43.2494,OIL GBP rate for Sunday 10 March 2019,NA,NA
104,Saturday  9 March 2019,OIL/GBP,43.0479,OIL GBP rate for Saturday  9 March 2019,NA,NA
105,Friday  8 March 2019,OIL/GBP,43.0571,OIL GBP rate for Friday  8 March 2019,NA,NA
106,Thursday  7 March 2019,OIL/GBP,43.1257,OIL GBP rate for Thursday  7 March 2019,NA,NA
107,Wednesday  6 March 2019,OIL/GBP,42.5815,OIL GBP rate for Wednesday  6 March 2019,NA,NA
108,Tuesday  5 March 2019,OIL/GBP,42.6814,OIL GBP rate for Tuesday  5 March 2019,NA,NA
109,Monday  4 March 2019,OIL/GBP,42.8248,OIL GBP rate for Monday  4 March 2019,NA,NA
110,Sunday  3 March 2019,OIL/GBP,42.3138,OIL GBP rate for Sunday  3 March 2019,NA,NA
111,Saturday  2 March 2019,OIL/GBP,42.2316,OIL GBP rate for Saturday  2 March 2019,NA,NA
112,Friday  1 March 2019,OIL/GBP,42.2262,OIL GBP rate for Friday  1 March 2019,NA,NA
113,Thursday 28 February 2019,OIL/GBP,43.1306,OIL GBP rate for Thursday 28 February 2019,NA,NA
114,Wednesday 27 February 2019,OIL/GBP,42.7953,OIL GBP rate for Wednesday 27 February 2019,NA,NA
115,Tuesday 26 February 2019,OIL/GBP,42.2578,OIL GBP rate for Tuesday 26 February 2019,NA,NA
116,Monday 25 February 2019,OIL/GBP,42.2585,OIL GBP rate for Monday 25 February 2019,NA,NA
117,Sunday 24 February 2019,OIL/GBP,43.8952,OIL GBP rate for Sunday 24 February 2019,NA,NA
118,Saturday 23 February 2019,OIL/GBP,43.7311,OIL GBP rate for Saturday 23 February 2019,NA,NA
119,Friday 22 February 2019,OIL/GBP,43.7294,OIL GBP rate for Friday 22 February 2019,NA,NA
120,Thursday 21 February 2019,OIL/GBP,43.6181,OIL GBP rate for Thursday 21 February 2019,NA,NA
121,Wednesday 20 February 2019,OIL/GBP,43.85,OIL GBP rate for Wednesday 20 February 2019,NA,NA
122,Tuesday 19 February 2019,OIL/GBP,43.1108,OIL GBP rate for Tuesday 19 February 2019,NA,NA
123,Monday 18 February 2019,OIL/GBP,43.5481,OIL GBP rate for Monday 18 February 2019,NA,NA
124,Sunday 17 February 2019,OIL/GBP,43.6236,OIL GBP rate for Sunday 17 February 2019,NA,NA
125,Saturday 16 February 2019,OIL/GBP,43.6039,OIL GBP rate for Saturday 16 February 2019,NA,NA
126,Friday 15 February 2019,OIL/GBP,43.5931,OIL GBP rate for Friday 15 February 2019,NA,NA
127,Thursday 14 February 2019,OIL/GBP,42.9481,OIL GBP rate for Thursday 14 February 2019,NA,NA
128,Wednesday 13 February 2019,OIL/GBP,42.0019,OIL GBP rate for Wednesday 13 February 2019,NA,NA
129,Tuesday 12 February 2019,OIL/GBP,41.4773,OIL GBP rate for Tuesday 12 February 2019,NA,NA
130,Monday 11 February 2019,OIL/GBP,40.7583,OIL GBP rate for Monday 11 February 2019,NA,NA
131,Sunday 10 February 2019,OIL/GBP,40.5774,OIL GBP rate for Sunday 10 February 2019,NA,NA
132,Saturday  9 February 2019,OIL/GBP,40.7177,OIL GBP rate for Saturday  9 February 2019,NA,NA
133,Friday  8 February 2019,OIL/GBP,40.7271,OIL GBP rate for Friday  8 February 2019,NA,NA
134,Thursday  7 February 2019,OIL/GBP,40.528,OIL GBP rate for Thursday  7 February 2019,NA,NA
135,Wednesday  6 February 2019,OIL/GBP,41.7092,OIL GBP rate for Wednesday  6 February 2019,NA,NA
136,Tuesday  5 February 2019,OIL/GBP,41.5052,OIL GBP rate for Tuesday  5 February 2019,NA,NA
137,Monday  4 February 2019,OIL/GBP,41.9975,OIL GBP rate for Monday  4 February 2019,NA,NA
138,Sunday  3 February 2019,OIL/GBP,42.229,OIL GBP rate for Sunday  3 February 2019,NA,NA
139,Saturday  2 February 2019,OIL/GBP,42.3166,OIL GBP rate for Saturday  2 February 2019,NA,NA
140,Friday  1 February 2019,OIL/GBP,42.3166,OIL GBP rate for Friday  1 February 2019,NA,NA
141,Thursday 31 January 2019,OIL/GBP,41.1224,OIL GBP rate for Thursday 31 January 2019,NA,NA
142,Wednesday 30 January 2019,OIL/GBP,41.5276,OIL GBP rate for Wednesday 30 January 2019,NA,NA
143,Tuesday 29 January 2019,OIL/GBP,40.7679,OIL GBP rate for Tuesday 29 January 2019,NA,NA
144,Monday 28 January 2019,OIL/GBP,39.5715,OIL GBP rate for Monday 28 January 2019,NA,NA
145,Sunday 27 January 2019,OIL/GBP,40.346,OIL GBP rate for Sunday 27 January 2019,NA,NA
146,Saturday 26 January 2019,OIL/GBP,40.5644,OIL GBP rate for Saturday 26 January 2019,NA,NA
147,Friday 25 January 2019,OIL/GBP,40.5911,OIL GBP rate for Friday 25 January 2019,NA,NA
