,X1,X2,X3,X4,X5,X6
236,Monday 29 October 2018,XAU/GBP,960.94598,XAU GBP rate for Monday 29 October 2018,NA,NA
237,Sunday 28 October 2018,XAU/GBP,960.81289,XAU GBP rate for Sunday 28 October 2018,NA,NA
238,Saturday 27 October 2018,XAU/GBP,961.74759,XAU GBP rate for Saturday 27 October 2018,NA,NA
239,Friday 26 October 2018,XAU/GBP,961.74759,XAU GBP rate for Friday 26 October 2018,NA,NA
240,Thursday 25 October 2018,XAU/GBP,960.68338,XAU GBP rate for Thursday 25 October 2018,NA,NA
241,Wednesday 24 October 2018,XAU/GBP,957.38919,XAU GBP rate for Wednesday 24 October 2018,NA,NA
242,Tuesday 23 October 2018,XAU/GBP,948.77186,XAU GBP rate for Tuesday 23 October 2018,NA,NA
243,Monday 22 October 2018,XAU/GBP,942.24674,XAU GBP rate for Monday 22 October 2018,NA,NA
244,Sunday 21 October 2018,XAU/GBP,939.28377,XAU GBP rate for Sunday 21 October 2018,NA,NA
245,Saturday 20 October 2018,XAU/GBP,938.58364,XAU GBP rate for Saturday 20 October 2018,NA,NA
246,Friday 19 October 2018,XAU/GBP,938.58364,XAU GBP rate for Friday 19 October 2018,NA,NA
247,Thursday 18 October 2018,XAU/GBP,941.1907,XAU GBP rate for Thursday 18 October 2018,NA,NA
248,Wednesday 17 October 2018,XAU/GBP,933.37404,XAU GBP rate for Wednesday 17 October 2018,NA,NA
249,Tuesday 16 October 2018,XAU/GBP,929.28427,XAU GBP rate for Tuesday 16 October 2018,NA,NA
250,Monday 15 October 2018,XAU/GBP,933.33283,XAU GBP rate for Monday 15 October 2018,NA,NA
251,Sunday 14 October 2018,XAU/GBP,930.55264,XAU GBP rate for Sunday 14 October 2018,NA,NA
252,Saturday 13 October 2018,XAU/GBP,925.87257,XAU GBP rate for Saturday 13 October 2018,NA,NA
253,Friday 12 October 2018,XAU/GBP,925.87257,XAU GBP rate for Friday 12 October 2018,NA,NA
254,Thursday 11 October 2018,XAU/GBP,924.13017,XAU GBP rate for Thursday 11 October 2018,NA,NA
255,Wednesday 10 October 2018,XAU/GBP,904.19844,XAU GBP rate for Wednesday 10 October 2018,NA,NA
256,Tuesday  9 October 2018,XAU/GBP,904.66953,XAU GBP rate for Tuesday  9 October 2018,NA,NA
257,Monday  8 October 2018,XAU/GBP,907.53995,XAU GBP rate for Monday  8 October 2018,NA,NA
258,Sunday  7 October 2018,XAU/GBP,916.60223,XAU GBP rate for Sunday  7 October 2018,NA,NA
259,Saturday  6 October 2018,XAU/GBP,917.29191,XAU GBP rate for Saturday  6 October 2018,NA,NA
260,Friday  5 October 2018,XAU/GBP,917.29191,XAU GBP rate for Friday  5 October 2018,NA,NA
261,Thursday  4 October 2018,XAU/GBP,921.18215,XAU GBP rate for Thursday  4 October 2018,NA,NA
262,Wednesday  3 October 2018,XAU/GBP,925.64987,XAU GBP rate for Wednesday  3 October 2018,NA,NA
263,Tuesday  2 October 2018,XAU/GBP,928.05642,XAU GBP rate for Tuesday  2 October 2018,NA,NA
264,Monday  1 October 2018,XAU/GBP,911.90169,XAU GBP rate for Monday  1 October 2018,NA,NA
265,Sunday 30 September 2018,XAU/GBP,914.30588,XAU GBP rate for Sunday 30 September 2018,NA,NA
