"","open","high","low","close","volume","adjusted_close"
"X2018.10.18",156.059998,157.619995,151.919998,156.789993,535757,156.789993
"X2018.10.19",156.789993,160.699997,148.089996,158.979996,543206,158.979996
"X2018.10.20",158.979996,161.860001,157.100006,158.259995,340638,158.259995
"X2018.10.21",158.259995,159.270004,156.229996,157.970001,450063,157.970001
"X2018.10.22",157.970001,158.949997,154.160004,156.179993,607940,156.179993
"X2018.10.23",156.179993,159.779999,156.179993,158.800003,462443,158.800003
"X2018.10.24",158.800003,159.929993,156.410004,158.880005,525039,158.880005
"X2018.10.25",158.880005,162.380005,157.179993,159.039993,1021110,159.039993
"X2018.10.26",159.039993,161.770004,158.779999,161.149994,300934,161.149994
"X2018.10.27",161.149994,161.190002,159.309998,159.880005,310732,159.880005
"X2018.10.29",159.880005,161.289993,152.449997,154.369995,1111213,154.369995
"X2018.10.30",154.369995,157.320007,153.839996,156.429993,546847,156.429993
"X2018.10.31",156.429993,158.360001,152.059998,157.399994,789691,157.399994
"X2018.11.01",157.399994,159.020004,153.059998,154.360001,939524,154.360001
"X2018.11.02",154.360001,158.990005,153.039993,157.449997,781911,157.449997
"X2018.11.03",157.449997,158.100006,155.119995,155.770004,467417,155.770004
"X2018.11.04",155.770004,169.100006,154.059998,163.970001,1273932,163.970001
"X2018.11.05",163.970001,164.960007,160.279999,162.089996,691754,162.089996
"X2018.11.06",162.089996,168.470001,160.330002,168.289993,1131341,168.289993
"X2018.11.07",168.289993,171.149994,164.720001,167.300003,1295036,167.300003
"X2018.11.08",167.300003,169.130005,161.419998,162.690002,1062900,162.690002
"X2018.11.09",162.690002,164.240005,159.5,161.649994,918907,161.649994
"X2018.11.10",161.649994,166.160004,160.220001,164.25,500307,164.25
"X2018.11.11",164.25,165.5,160.899994,164.279999,468431,164.279999
"X2018.11.12",164.279999,166.009995,162.970001,164.300003,730092,164.300003
"X2018.11.13",164.130005,165.419998,157.690002,157.690002,983519,157.690002
"X2018.11.14",157.690002,160.710007,134.360001,142.839996,6791819,142.839996
"X2018.11.15",142.839996,147.059998,133.199997,143.339996,3811700,143.339996
"X2018.11.16",143.339996,143.5,134.440002,137.350006,1625156,137.350006
"X2018.11.17",137.350006,140.419998,135.699997,139.789993,551579,139.789993
"X2018.11.18",139.789993,141.929993,137.229996,139.270004,897401,139.270004
"X2018.11.19",139.270004,139.270004,112.589996,116.620003,3654699,116.620003
"X2018.11.20",115.980003,119.25,96.589996,104.480003,6366753,104.480003
"X2018.11.21",104.480003,110.309998,99.190002,107.699997,2323362,107.699997
"X2018.11.22",107.699997,108.82,96.889999,97.080002,1357996,97.080002
"X2018.11.23",97.080002,99.089996,92.330002,97.150002,1561984,97.150002
"X2018.11.24",97.150002,101.690002,87.209999,93.339996,1420678,93.339996
"X2018.11.25",93.339996,94.779999,79.269997,92.089996,2363979,92.089996
"X2018.11.26",92.089996,94.129997,82.07,85.059998,1241550,85.059998
"X2018.11.27",85.059998,88.589996,79.529999,86.239998,1010076,86.239998
"X2018.11.28",86.239998,99.260002,86.239998,96.580002,2142250,96.580002
"X2018.11.29",96.580002,97.68,89.660004,92.339996,1085599,92.339996
"X2018.11.30",92.339996,94.330002,87.480003,88.989998,1009179,88.989998
"X2018.12.01",88.989998,95.440002,86.970001,94.050003,1178287,94.050003
"X2018.12.02",94.050003,95.160004,90.989998,91.300003,522096,91.300003
"X2018.12.03",91.300003,91.620003,83.830002,85.529999,1156091,85.529999
"X2018.12.04",85.529999,89.010002,83.370003,86.639999,623639,86.639999
"X2018.12.05",86.639999,87.379997,79.879997,80.160004,969252,80.160004
"X2018.12.06",80.160004,82.370003,71.360001,71.529999,1323038,71.529999
"X2018.12.07",71.529999,78.129997,65.160004,74.459999,2876301,74.459999
"X2018.12.08",74.459999,78.139999,68.050003,72.720001,1379443,72.720001
"X2018.12.09",72.720001,79.110001,70.349998,74.599998,567979,74.599998
"X2018.12.10",74.599998,75.720001,70.330002,71.989998,488218,71.989998
"X2018.12.11",71.989998,73.68,68.550003,70.580002,591913,70.580002
"X2018.12.12",70.580002,73.139999,69.800003,70.870003,567401,70.870003
"X2018.12.13",70.870003,72.220001,67.080002,68.089996,510355,68.089996
"X2018.12.14",68.089996,69.989998,65.32,67.07,523253,67.07
"X2018.12.15",67.07,70.209999,65.18,67.400002,468086,67.400002
"X2018.12.16",67.400002,71.139999,66.739998,67.650002,738504,67.650002
"X2018.12.17",67.650002,78.139999,67.029999,75.610001,985341,75.610001
"X2018.12.18",75.610001,81.330002,73.410004,80.68,890277,80.68
"X2018.12.19",80.68,87.029999,78.620003,79.900002,1554357,79.900002
"X2018.12.20",79.900002,94.449997,79.129997,91.870003,2237166,91.870003
"X2018.12.21",91.870003,95.879997,84.650002,87.470001,1232824,87.470001
"X2018.12.22",87.470001,93.68,85.190002,93.410004,689469,93.410004
"X2018.12.23",93.410004,110.330002,93.410004,104.870003,1699400,104.870003
"X2018.12.24",104.870003,126.989998,104.849998,112.160004,5379551,112.160004
"X2018.12.25",112.160004,112.870003,98.709999,104.550003,2275284,104.550003
"X2018.12.26",104.550003,110.379997,100.160004,105.790001,1414869,105.790001
"X2018.12.27",105.790001,106.690002,91.809998,93.230003,2199369,93.230003
"X2018.12.28",93.230003,112.400002,91.220001,111.099998,2939466,111.099998
"X2018.12.29",111.099998,118.959999,106.739998,109.730003,1871147,109.730003
"X2018.12.30",109.730003,113.300003,105.339996,112.110001,790374,112.110001
"X2018.12.31",112.110001,112.57,103.970001,105.419998,761745,105.419998
"X2019.01.01",105.419998,115.019997,104.25,112.650002,776884,112.650002
"X2019.01.02",112.650002,126.440002,110.779999,124.910004,1729129,124.910004
"X2019.01.03",124.910004,125.349998,116.019997,118.849998,1028736,118.849998
"X2019.01.04",118.849998,125.580002,117.489998,123.019997,1207644,123.019997
"X2019.01.05",123.019997,127.669998,122.290001,123.75,1931101,123.75
"X2019.01.06",123.75,128.240005,120.300003,125.379997,1328595,125.379997
"X2019.01.07",125.379997,126.260002,119.110001,119.559998,936800,119.559998
"X2019.01.08",119.559998,122.389999,116.019997,118.279999,1253757,118.279999
"X2019.01.09",118.279999,123.400002,117.400002,117.709999,993212,117.709999
"X2019.01.10",117.709999,119.720001,97.879997,100.93,1717685,100.93
"X2019.01.11",100.93,102.550003,96.610001,99.620003,613581,99.620003
"X2019.01.12",99.620003,100.849998,98.440002,99.389999,415996,99.389999
"X2019.01.13",99.389999,100.220001,90.290001,91.550003,1180565,91.550003
"X2019.01.14",91.550003,103.559998,91.169998,101.860001,1629122,101.860001
"X2019.01.15",101.860001,103.339996,92.589996,95.050003,990753,95.050003
"X2019.01.16",95.050003,101.089996,94.110001,95.839996,833018,95.839996
"X2019.01.17",95.839996,96.959999,92.32,95.870003,745325,95.870003
"X2019.01.18",95.870003,95.989998,92.830002,93.589996,405442,93.589996
"X2019.01.19",93.589996,100.779999,93.480003,96.769997,757653,96.769997
"X2019.01.20",96.769997,97.639999,90.480003,92.379997,808967,92.379997
"X2019.01.21",92.379997,92.550003,89.279999,90.610001,519385,90.610001
"X2019.01.22",90.610001,93.309998,86.730003,91.559998,678971,91.559998
"X2019.01.23",91.559998,93.239998,88.589996,90.029999,366681,90.029999
"X2019.01.24",90.029999,90.730003,88.209999,89.160004,430987,89.160004
"X2019.01.25",89.160004,90.339996,87.25,88.029999,467373,88.029999
"X2019.01.26",88.029999,89.989998,87.589996,88.669998,387277,88.669998
"X2019.01.27",88.669998,88.839996,84.839996,85.669998,578312,85.669998
"X2019.01.28",85.669998,86.040001,77.540001,80.959999,908377,80.959999
"X2019.01.29",80.959999,81.529999,78.470001,80.529999,520828,80.529999
"X2019.01.30",80.529999,84.519997,79.68,83.220001,961139,83.220001
"X2019.01.31",83.220001,85.019997,80.459999,81.389999,552844,81.389999
"X2019.02.01",81.389999,83.239998,79.510002,82.260002,706858,82.260002
"X2019.02.02",82.260002,85.610001,81.290001,85.150002,643184,85.150002
"X2019.02.03",85.150002,85.800003,80.849998,82.220001,404742,82.220001
"X2019.02.04",82.220001,83.260002,81.040001,82.040001,367328,82.040001
"X2019.02.05",82.040001,83.010002,81.089996,82.459999,479463,82.459999
"X2019.02.06",82.459999,82.599998,78.339996,80.93,774825,80.93
"X2019.02.07",80.93,81.980003,79.550003,80.330002,338134,80.330002
"X2019.02.08",80.330002,95.650002,79.720001,92.330002,1139254,92.330002
"X2019.02.09",92.330002,94.239998,89.940002,92.889999,356656,92.889999
"X2019.02.10",92.889999,97.639999,89.599998,97.120003,442144,97.120003
"X2019.02.11",97.120003,97.150002,91.959999,93.779999,505719,93.779999
"X2019.02.12",93.779999,96.199997,91.690002,94.029999,548535,94.029999
"X2019.02.13",94.029999,98,93.540001,94.309998,557250,94.309998
"X2019.02.14",94.309998,96.790001,93.769997,94.230003,455807,94.230003
"X2019.02.15",94.230003,97.089996,93.540001,94.760002,466578,94.760002
"X2019.02.16",94.760002,96.669998,94.150002,95.989998,469456,95.989998
"X2019.02.17",95.989998,106.040001,94.870003,104.860001,1548410,104.860001
"X2019.02.18",104.860001,115.419998,102.720001,113.459999,2130408,113.459999
"X2019.02.19",113.459999,116.699997,110.389999,110.910004,987012,110.910004
"X2019.02.20",110.910004,115.269997,107.93,114.779999,806586,114.779999
"X2019.02.21",114.779999,116.790001,109.440002,112.32,860744,112.32
"X2019.02.22",112.32,115.290001,110.650002,113.940002,651874,113.940002
"X2019.02.23",113.940002,123.940002,112.160004,122.5,1582802,122.5
"X2019.02.24",122.5,128.169998,102.470001,102.610001,2518833,102.610001
"X2019.02.25",102.610001,109.410004,102.529999,106.580002,877924,106.580002
"X2019.02.26",106.580002,106.669998,102.010002,103.379997,519865,103.379997
"X2019.02.27",103.379997,106.760002,96.199997,102.260002,1171863,102.260002
"X2019.02.28",102.260002,106.199997,101.099998,102.519997,964612,102.519997
"X2019.03.01",102.519997,105.260002,101.900002,103.160004,411231,103.160004
"X2019.03.02",103.160004,103.900002,99.849998,101.830002,568852,101.830002
"X2019.03.03",101.830002,103.360001,98.419998,99.18,457146,99.18
"X2019.03.04",99.18,100.160004,93.949997,95.68,936331,95.68
"X2019.03.05",95.68,105.879997,95.239998,105.07,962890,105.07
"X2019.03.06",105.07,108.07,102.559998,105.389999,683230,105.389999
"X2019.03.07",105.389999,107.050003,103.809998,104.550003,640976,104.550003
"X2019.03.08",104.550003,108.190002,102.260002,103.260002,1083853,103.260002
"X2019.03.09",103.260002,107.639999,102.93,106.199997,521018,106.199997
"X2019.03.10",106.199997,106.400002,103.300003,104.779999,286545,104.779999
"X2019.03.11",104.779999,105.919998,100.18,100.57,652499,100.57
"X2019.03.12",100.57,103.470001,97.739998,101.639999,607456,101.639999
"X2019.03.13",101.639999,103.989998,98.330002,99.459999,422696,99.459999
"X2019.03.14",99.459999,102.139999,98.449997,99.489998,438705,99.489998
"X2019.03.15",99.489998,103.830002,99.419998,103.129997,496945,103.129997
"X2019.03.16",103.129997,108.559998,102.860001,106.209999,632970,106.209999
"X2019.03.17",106.209999,106.209999,103.279999,104.25,409958,104.25
"X2019.03.18",104.25,107.489998,103.07,104.349998,586645,104.349998
"X2019.03.19",104.349998,105.349998,103.269997,104.739998,354352,104.739998
"X2019.03.20",104.739998,106.169998,103.32,105.580002,419769,105.580002
"X2019.03.21",105.580002,106.260002,102.099998,103.260002,536001,103.260002
"X2019.03.22",103.260002,104.760002,102.769997,103.449997,249395,103.449997
"X2019.03.23",103.449997,105.089996,102.639999,103.919998,247530,103.919998
"X2019.03.24",103.919998,104.389999,102.029999,103.029999,278351,103.029999
"X2019.03.25",103.029999,103.57,100.089996,101.540001,486945,101.540001
"X2019.03.26",101.540001,103.029999,99.57,101.010002,407150,101.010002
"X2019.03.27",101.010002,106.449997,100.839996,106.25,592595,106.25
"X2019.03.28",106.25,106.25,104.120003,105.559998,335070,105.559998
"X2019.03.29",105.559998,110.510002,104.730003,110.489998,766720,110.489998
"X2019.03.30",110.489998,112.519997,108.120003,109.199997,534859,109.199997
"X2019.03.31",109.199997,109.709999,107.580002,108.669998,327643,108.669998
"X2019.03.31.1",108.669998,110.550003,106.839996,108.43,644739,108.43
"X2019.04.01",108.43,127.300003,108.050003,125.699997,2079548,125.699997
"X2019.04.02",125.699997,136.619995,115.32,122.519997,2839250,122.519997
"X2019.04.03",122.519997,125.379997,117.449997,120.410004,951163,120.410004
"X2019.04.04",120.410004,129.520004,119.900002,126.830002,781476,126.830002
"X2019.04.05",126.830002,132.970001,123.260002,127.989998,635292,127.989998
"X2019.04.06",127.989998,135.179993,127.400002,134.25,917264,134.25
"X2019.04.07",134.25,143.710007,133.839996,138.470001,1307404,138.470001
"X2019.04.08",138.470001,138.910004,134.059998,135.039993,620468,135.039993
"X2019.04.09",135.039993,142.119995,130.210007,135.429993,1083346,135.429993
"X2019.04.10",135.429993,136.240005,123.029999,126.889999,884574,126.889999
