"","date","GBPEUR","GBPUSD","GBPJPY","GBPEURLOG","GBPUSDLOG","GBPJPYLOG"
"233","2012-11-21",1.2426,1.59261,130.190002,-0.00136716415199206,0.00200438089236843,0.00691379835786954
"234","2012-11-22",1.2411,1.596934,131.848999,-0.00120787549411783,0.00271136102777231,0.012662383538447
"235","2012-11-23",1.2377,1.594133,131.25,-0.00274326458949894,-0.00175552611045793,-0.00455341933818243
"236","2012-11-26",1.2359,1.602795,132.276001,-0.00145536895028689,0.00541896545481169,0.00778675485739644
"237","2012-11-27",1.2344,1.603335,131.274994,-0.00121442754673873,0.000336854715876245,-0.00759634251078722
"238","2012-11-28",1.238,1.602307,131.487,0.00291215219559038,-0.000641369207939835,0.00161367359698339
"239","2012-11-29",1.2361,1.601537,131.529999,-0.00153591235076397,-0.000480672601303578,0.000326967462533467
"240","2012-11-30",1.236,1.604107,131.75,-8.09028761413755e-05,0.00160342230803828,0.00167123254361279
"241","2012-12-03",1.2326,1.602307,132.119003,-0.00275459948949336,-0.0011227497067347,0.00279686690249648
"243","2012-12-05",1.2288,1.610099,131.710007,-0.00308767613473507,0.0048512020470074,-0.0031004651659492
"244","2012-12-06",1.231,1.609321,132.630005,0.00178876379104595,-0.000483316880149021,0.00696074504710342
"245","2012-12-07",1.2379,1.605008,132.274002,0.00558954835331099,-0.00268360991574484,-0.0026877903309348
"246","2012-12-10",1.2424,1.603566,132.343994,0.00362859729671269,-0.000898841726626576,0.000529004094130592
"247","2012-12-11",1.2421,1.607407,132.367996,-0.000241497284329234,0.00239242237917037,0.000181344260724359
"248","2012-12-12",1.2385,1.611863,133.014008,-0.00290252562073384,0.00276833123395759,0.00486855375487139
"249","2012-12-13",1.2346,1.613684,134.261002,-0.00315393896961874,0.00112911093434048,0.00933123563008031
"250","2012-12-14",1.2321,1.611603,134.820999,-0.00202700032917288,-0.00129042797665707,0.00416228366368543
"251","2012-12-17",1.2284,1.617599,136.108002,-0.00300752106395533,0.00371361524665886,0.00950073765505621
"252","2012-12-18",1.231,1.620483,135.951996,0.00211433761778634,0.00178130187103742,-0.00114685009369975
"253","2012-12-19",1.228,1.624959,137.050003,-0.00244001747736583,0.00275833173905476,0.00804399179958004
"254","2012-12-20",1.2297,1.625224,136.876007,0.00138340747131382,0.000163067741470069,-0.00127038701728832
"255","2012-12-21",1.229,1.627339,137.376999,-0.00056940661236668,0.00130051304039169,0.00365350640695983
"256","2012-12-24",1.2253,1.615692,136.339996,-0.003015118610634,-0.00718281760188888,-0.00757722743206735
"257","2012-12-25",1.2234,1.613163,136.809998,-0.00155184414693638,-0.00156649989991126,0.00344135071698837
"258","2012-12-26",1.2239,1.613684,137.139999,0.000408613579828243,0.000322915839844395,0.00240920725119143
"259","2012-12-27",1.2187,1.612643,138.149994,-0.0042577645588362,-0.00064531588777289,0.00733771337397116
"260","2012-12-28",1.2162,1.611603,139.382996,-0.00205347314344725,-0.000645112088884181,0.00888550303398095
"261","2012-12-31",1.2217,1.616292,138.899994,0.00451208772400485,0.00290530100776648,-0.003471304408599
"262","2013-01-01",1.2303,1.62364,140.949997,0.00701471065610904,0.0045359054439475,0.0146509897122247
"263","2013-01-02",1.2309,1.624695,140.671005,0.00048756705012698,0.000649563568471234,-0.00198133015142954
"264","2013-01-03",1.2325,1.62525,141.832001,0.00129901780059494,0.000341544244838121,0.00821939952212603
"265","2013-01-04",1.2343,1.608234,141.020004,0.00145938083303784,-0.0105249675449624,-0.00574151299100922
"266","2013-01-07",1.2293,1.606787,141.714996,-0.00405910607658758,-0.000900149702104558,0.00491621765810812
"267","2013-01-08",1.2281,1.612201,140.623993,-0.000976642056956994,0.00336379328223491,-0.00772835826961682
"268","2013-01-09",1.2273,1.606168,139.485001,-0.000651625012875773,-0.00374910836299913,-0.00813253627665667
"269","2013-01-10",1.2266,1.601537,141.139008,-0.000570520411579345,-0.00288742463379404,0.0117882012981267
"270","2013-01-11",1.2176,1.616292,144.244003,-0.00736440608446187,0.00917084370436838,0.0217610538015283
"271","2013-01-14",1.2067,1.612695,144.339996,-0.00899234702786622,-0.00222794423630673,0.000665269064626273
"272","2013-01-15",1.2015,1.607717,143.809998,-0.00431858490303158,-0.00309153236592019,-0.00367862994073143
"273","2013-01-16",1.2076,1.607459,142.669998,0.00506414265616015,-0.000160488881824128,-0.00795871288269101
"274","2013-01-17",1.2035,1.600256,141.794998,-0.00340094060955709,-0.00449105491403257,-0.00615191866777121
"275","2013-01-18",1.1946,1.597699,143.462997,-0.00742257692492096,-0.00159914729563859,0.0116948028801431
